Player Name,Position,Team Abbreviation,Team Full Name,Matchup,Stat Category,Over/Under Line,Multiplier
K. Marion,WR,MIA,Miami,MIA @ OSU,Receptions,3.5,0.8x
C. Douglas,WR,ORE,Oregon,ORE @ TTU,Receptions,3.5,0.9x
R. Vegel,WR,ORE,Oregon,ORE @ TTU,Receptions,3.5,0.8x
T. Carter Jr.,TE,ORE,Oregon,ORE @ TTU,Receptions,3.5,0.8x
C. Eakin,WR,ORE,Oregon,ORE @ TTU,Receptions,3.5,1.1x
C. Dickey,RB,ORE,Oregon,ORE @ TTU,Receptions,3.5,1.1x
J. Williams,RB,ORE,Oregon,ORE @ TTU,Receptions,3.5,2.1x
E. Sarratt,WR,BAMA,Alabama,BAMA @ IU,Receptions,3.5,0.7x
Q. Barnard,WR,BAMA,Alabama,BAMA @ IU,Receptions,3.5,0.7x
O. Cooper Jr.,WR,BAMA,Alabama,BAMA @ IU,Receptions,3.5,0.8x
J. Cuevas,TE,BAMA,Alabama,BAMA @ IU,Receptions,3.5,
I. Horton,WR,BAMA,Alabama,BAMA @ IU,Receptions,3.5,1.0x
L. Brooks,WR,BAMA,Alabama,BAMA @ IU,Receptions,3.5,
C. Becker,WR,BAMA,Alabama,BAMA @ IU,Receptions,3.5,1.5x
R. Williams,WR,BAMA,Alabama,BAMA @ IU,Receptions,3.5,0.7x
H. Wallace III,WR,MISS,Ole Miss,MISS @ UGA,Receptions,3.5,0.8x
D. Stribling,WR,MISS,Ole Miss,MISS @ UGA,Receptions,3.5,
C. Lee,WR,MISS,Ole Miss,MISS @ UGA,Receptions,3.5,1.2x
D. Wright,TE,MISS,Ole Miss,MISS @ UGA,Receptions,3.5,1.2x
D. Bell,WR,UGA,Georgia,MISS @ UGA,Receptions,3.5,1.6x
D. Alexander,WR,MISS,Ole Miss,MISS @ UGA,Receptions,3.5,1.2x
O. Delp,TE,UGA,Georgia,MISS @ UGA,Receptions,3.5,2.3x
